Date,PET
2021-01-01,4.471
2021-01-02,2.819
2021-01-03,2.316
2021-01-04,2.489
2021-01-05,2.274
2021-01-06,2.193
2021-01-07,2.358
2021-01-08,1.893
2021-01-09,1.63
2021-01-10,1.824
2021-01-11,2.039
2021-01-12,1.454
2021-01-13,1.54
2021-01-14,2.154
2021-01-15,2.401
2021-01-16,2.115
2021-01-17,2.358
2021-01-18,2.154
2021-01-19,2.274
2021-01-20,2.534
2021-01-21,2.819
2021-01-22,2.489
2021-01-23,2.401
2021-01-24,3.241
2021-01-25,4.621
2021-01-26,4.325
2021-01-27,2.819
2021-01-28,1.929
2021-01-29,2.115
2021-01-30,2.534
2021-01-31,3.413
2021-02-01,2.002
2021-02-02,2.077
2021-02-03,2.039
2021-02-04,2.54
2021-02-05,2.494
2021-02-06,2.155
2021-02-07,2.002
2021-02-08,2.633
2021-02-09,3.804
2021-02-10,3.87
2021-02-11,3.256
2021-02-12,2.002
2021-02-13,1.857
2021-02-14,1.893
2021-02-15,1.755
2021-02-16,1.078
2021-02-17,1.722
2021-02-18,2.155
2021-02-19,1.857
2021-02-20,2.039
2021-02-21,2.778
2021-02-22,3.2
2021-02-23,3.314
2021-02-24,3.87
2021-02-25,4.505
2021-02-26,4.815
2021-02-27,6.247
2021-02-28,6.764
2021-03-01,4.815
2021-03-02,3.009
2021-03-03,3.657
2021-03-04,3.921
2021-03-05,4.059
2021-03-06,3.349
2021-03-07,3.232
2021-03-08,3.722
2021-03-09,4.13
2021-03-10,5.064
2021-03-11,5.324
2021-03-12,5.783
2021-03-13,6.696
2021-03-14,6.483
2021-03-15,6.805
2021-03-16,5.688
2021-03-17,5.595
2021-03-18,4.274
2021-03-19,3.409
2021-03-20,3.657
2021-03-21,3.787
2021-03-22,4.979
2021-03-23,5.324
2021-03-24,6.175
2021-03-25,6.276
2021-03-26,6.379
2021-03-27,8.105
2021-03-28,4.979
2021-03-29,3.921
2021-03-30,5.236
2021-03-31,4.13
2021-04-01,2.97
2021-04-02,2.97
2021-04-03,3.679
2021-04-04,4.53
2021-04-05,5.364
2021-04-06,6.226
2021-04-07,7.32
2021-04-08,7.558
2021-04-09,6.226
2021-04-10,6.645
2021-04-11,5.733
2021-04-12,6.226
2021-04-13,6.976
2021-04-14,5.639
2021-04-15,5.546
2021-04-16,4.932
2021-04-17,5.639
2021-04-18,4.608
2021-04-19,4.687
2021-04-20,5.546
2021-04-21,3.428
2021-04-22,3.679
2021-04-23,5.016
2021-04-24,6.645
2021-04-25,5.275
2021-04-26,5.829
2021-04-27,7.089
2021-04-28,8.712
2021-04-29,8.054
2021-04-30,6.226
2021-05-01,6.226
2021-05-02,7.321
2021-05-03,8.85
2021-05-04,7.559
2021-05-05,5.927
2021-05-06,5.365
2021-05-07,5.101
2021-05-08,5.64
2021-05-09,7.803
2021-05-10,6.646
2021-05-11,6.433
2021-05-12,5.734
2021-05-13,5.365
2021-05-14,5.64
2021-05-15,6.025
2021-05-16,6.755
2021-05-17,7.321
2021-05-18,8.054
2021-05-19,8.713
2021-05-20,8.444
2021-05-21,8.578
2021-05-22,8.444
2021-05-23,8.444
2021-05-24,9.13
2021-05-25,9.273
2021-05-26,8.713
2021-05-27,8.989
2021-05-28,8.85
2021-05-29,5.64
2021-05-30,5.927
2021-05-31,7.205
2021-06-01,8.32
2021-06-02,8.45
2021-06-03,8.191
2021-06-04,7.692
2021-06-05,8.853
2021-06-06,7.22
2021-06-07,8.583
2021-06-08,8.45
2021-06-09,8.45
2021-06-10,7.938
2021-06-11,7.938
2021-06-12,9.415
2021-06-13,9.415
2021-06-14,9.856
2021-06-15,8.45
2021-06-16,7.692
2021-06-17,7.938
2021-06-18,8.32
2021-06-19,7.336
2021-06-20,8.853
2021-06-21,8.853
2021-06-22,7.22
2021-06-23,7.453
2021-06-24,8.853
2021-06-25,8.991
2021-06-26,8.991
2021-06-27,9.56
2021-06-28,9.415
2021-06-29,8.583
2021-06-30,8.991
2021-07-01,7.975
2021-07-02,7.853
2021-07-03,6.928
2021-07-04,6.819
2021-07-05,8.1
2021-07-06,8.1
2021-07-07,7.612
2021-07-08,8.226
2021-07-09,9.156
2021-07-10,8.614
2021-07-11,8.882
2021-07-12,8.1
2021-07-13,7.732
2021-07-14,8.483
2021-07-15,9.018
2021-07-16,8.483
2021-07-17,7.975
2021-07-18,8.1
2021-07-19,7.378
2021-07-20,8.354
2021-07-21,8.882
2021-07-22,8.882
2021-07-23,9.296
2021-07-24,9.156
2021-07-25,9.156
2021-07-26,9.438
2021-07-27,9.018
2021-07-28,9.875
2021-07-29,9.156
2021-07-30,9.156
2021-07-31,9.156
2021-08-01,8.814
2021-08-02,8.035
2021-08-03,8.035
2021-08-04,7.788
2021-08-05,8.417
2021-08-06,8.547
2021-08-07,8.547
2021-08-08,8.68
2021-08-09,9.369
2021-08-10,9.512
2021-08-11,8.95
2021-08-12,8.68
2021-08-13,9.088
2021-08-14,9.227
2021-08-15,8.95
2021-08-16,8.68
2021-08-17,8.68
2021-08-18,9.369
2021-08-19,8.035
2021-08-20,8.547
2021-08-21,8.547
2021-08-22,9.227
2021-08-23,9.369
2021-08-24,9.227
2021-08-25,10.257
2021-08-26,8.95
2021-08-27,9.088
2021-08-28,9.088
2021-08-29,8.814
2021-08-30,7.668
2021-08-31,7.088
2021-09-01,9.27
2021-09-02,8.449
2021-09-03,8.318
2021-09-04,8.062
2021-09-05,8.851
2021-09-06,8.581
2021-09-07,8.715
2021-09-08,8.715
2021-09-09,8.715
2021-09-10,8.715
2021-09-11,8.062
2021-09-12,8.715
2021-09-16,7.57
2021-09-17,8.989
2021-09-18,7.813
2021-09-19,8.062
2021-09-20,9.129
2021-09-21,8.989
2021-09-22,6.557
2021-09-23,5.213
2021-09-24,5.389
2021-09-25,5.852
2021-09-26,6.557
2021-09-27,6.881
2021-09-28,7.691
2021-09-29,8.189
2021-09-30,8.318
2021-10-01,8.671
2021-10-02,8.144
2021-10-03,7.406
2021-10-04,8.017
2021-10-05,7.768
2021-10-06,8.017
2021-10-07,7.891
2021-10-08,7.406
2021-10-09,7.645
2021-10-10,7.768
2021-10-11,8.144
2021-10-12,8.807
2021-10-13,8.404
2021-10-14,8.017
2021-10-15,8.273
2021-10-16,5.345
2021-10-17,4.363
2021-10-18,4.671
2021-10-19,5.169
2021-10-20,6.406
2021-10-21,7.406
2021-10-22,5.618
2021-10-23,5.526
2021-10-24,6.001
2021-10-25,6.1
2021-10-26,4.671
2021-10-27,5.345
2021-10-28,5.345
2021-10-29,5.345
2021-10-30,4.438
2021-10-31,4.832
2021-11-01,4.274
2021-11-02,4.201
2021-11-03,3.593
2021-11-04,3.531
2021-11-05,3.921
2021-11-06,3.29
2021-11-07,3.531
2021-11-08,4.201
2021-11-09,4.654
2021-11-10,5.063
2021-11-11,5.235
2021-11-12,4.347
2021-11-13,2.799
2021-11-14,3.119
2021-11-15,3.593
2021-11-16,4.979
2021-11-17,5.412
2021-11-18,3.921
2021-11-19,3.29
2021-11-20,3.721
2021-11-21,4.654
2021-11-22,3.232
2021-11-23,2.699
2021-11-24,3.408
2021-11-25,4.498
2021-11-26,2.651
2021-11-27,3.009
2021-11-28,3.408
2021-11-29,2.902
2021-11-30,3.469
2021-12-01,3.355
2021-12-02,3.911
2021-12-03,3.781
2021-12-04,3.781
2021-12-05,5.098
2021-12-06,3.185
2021-12-07,2.489
2021-12-08,2.579
2021-12-09,2.869
2021-12-10,4.545
2021-12-11,3.781
2021-12-12,2.445
2021-12-13,2.534
2021-12-14,3.185
2021-12-15,3.593
2021-12-16,4.397
2021-12-17,4.698
2021-12-18,5.182
2021-12-19,2.626
2021-12-20,2.038
2021-12-21,2.721
2021-12-22,2.358
2021-12-23,2.534
2021-12-24,3.717
2021-12-25,4.776
2021-12-26,5.439
2021-12-27,5.439
2021-12-28,5.528
2021-12-29,5.8
2021-12-30,4.776
2021-12-31,4.935
2022-01-01,6.584
2022-01-02,3.185
2022-01-03,1.599
2022-01-04,2.076
2022-01-05,2.919
2022-01-06,2.316
2022-01-07,1.51
2022-01-08,2.274
2022-01-09,3.241
2022-01-10,2.001
2022-01-11,1.929
2022-01-12,2.154
2022-01-13,2.673
2022-01-14,2.274
2022-01-15,2.489
2022-01-16,2.076
2022-01-17,1.599
2022-01-18,2.115
2022-01-19,3.472
2022-01-20,2.039
2022-01-21,1.372
2022-01-22,1.661
2022-01-23,1.661
2022-01-24,2.316
2022-01-25,2.534
2022-01-26,1.79
2022-01-27,2.154
2022-01-28,1.929
2022-01-29,1.454
2022-01-30,2.274
2022-01-31,2.58
2022-02-01,3.372
2022-02-02,3.804
2022-02-03,3.804
2022-02-04,1.928
2022-02-05,1.755
2022-02-06,2.195
2022-02-07,2.406
2022-02-08,2.362
2022-02-09,2.729
2022-02-10,3.144
2022-02-11,3.936
2022-02-12,3.144
2022-02-13,2.002
2022-02-14,2.45
2022-02-15,3.2
2022-02-16,4.505
2022-02-17,4.895
2022-02-18,2.236
2022-02-19,2.277
2022-02-20,3.144
2022-02-21,3.431
2022-02-22,5.491
2022-02-23,4.658
2022-02-24,4.895
2022-02-25,3.372
2022-02-26,2.277
2022-02-27,2.778
2022-02-28,2.93
2022-03-01,3.657
2022-03-02,4.423
2022-03-03,4.734
2022-03-04,5.413
2022-03-05,5.783
2022-03-06,6.915
2022-03-07,5.783
2022-03-08,3.409
2022-03-09,3.349
2022-03-10,4.348
2022-03-11,4.13
2022-03-12,1.859
2022-03-13,2.509
2022-03-14,3.657
2022-03-15,4.202
2022-03-16,4.815
2022-03-17,4.896
2022-03-18,5.064
2022-03-19,3.722
2022-03-20,4.202
2022-03-21,5.064
2022-03-22,6.483
2022-03-23,4.499
2022-03-24,4.13
2022-03-25,4.13
2022-03-26,4.348
2022-03-27,3.854
2022-03-28,4.734
2022-03-29,5.783
2022-03-30,7.49
2022-03-31,4.654
2022-04-01,4.229
2022-04-02,4.53
2022-04-03,4.687
2022-04-04,5.455
2022-04-05,6.025
2022-04-06,7.089
2022-04-07,5.187
2022-04-08,3.679
2022-04-09,3.877
2022-04-10,4.849
2022-04-11,5.829
2022-04-12,7.558
2022-04-13,7.558
2022-04-14,5.364
2022-04-15,5.546
2022-04-16,5.829
2022-04-17,6.025
2022-04-18,4.453
2022-04-19,3.877
2022-04-20,4.687
2022-04-21,7.089
2022-04-22,7.089
2022-04-23,7.927
2022-04-24,7.558
2022-04-25,7.803
2022-04-26,5.275
2022-04-27,5.187
2022-04-28,5.546
2022-04-29,7.089
2022-04-30,7.803
2022-05-01,8.054
2022-05-02,7.803
2022-05-03,8.989
2022-05-04,9.273
2022-05-05,9.273
2022-05-06,7.803
2022-05-07,6.025
2022-05-08,6.125
2022-05-09,7.205
2022-05-10,7.928
2022-05-11,8.183
2022-05-12,9.273
2022-05-13,8.578
2022-05-14,8.578
2022-05-15,9.273
2022-05-16,8.444
2022-05-17,7.68
2022-05-18,8.313
2022-05-19,11.141
2022-05-20,10.646
2022-05-21,10.809
2022-05-22,9.712
2022-05-23,8.054
2022-05-24,8.578
2022-05-25,8.054
2022-05-26,7.205
2022-05-27,7.205
2022-05-28,7.09
2022-05-29,8.183
2022-05-30,9.863
2022-05-31,9.863
2022-06-01,9.272
2022-06-02,9.415
2022-06-03,7.22
2022-06-04,7.453
2022-06-05,8.32
2022-06-06,8.853
2022-06-07,9.707
2022-06-08,8.853
2022-06-09,8.191
2022-06-10,7.814
2022-06-11,8.583
2022-06-12,9.415
2022-06-13,10.793
2022-06-14,10.956
2022-06-15,10.473
2022-06-16,10.008
2022-06-17,10.316
2022-06-18,9.56
2022-06-19,8.583
2022-06-20,9.56
2022-06-21,10.008
2022-06-22,10.793
2022-06-23,10.956
2022-06-24,10.161
2022-06-25,11.289
2022-06-26,10.632
2022-06-27,10.008
2022-06-28,9.415
2022-06-29,9.56
2022-06-30,9.415
2022-07-01,9.156
2022-07-02,9.296
2022-07-03,9.156
2022-07-04,9.582
2022-07-05,9.582
2022-07-06,9.875
2022-07-07,10.484
2022-07-08,10.329
2022-07-09,10.176
2022-07-10,8.354
2022-07-11,8.747
2022-07-12,9.296
2022-07-13,8.747
2022-07-14,8.226
2022-07-15,8.747
2022-07-16,8.882
2022-07-17,9.296
2022-07-18,8.747
2022-07-19,8.747
2022-07-20,10.176
2022-07-21,9.156
2022-07-22,8.354
2022-07-23,9.018
2022-07-24,9.582
2022-07-25,9.296
2022-07-26,9.018
2022-07-27,9.727
2022-07-28,10.176
2022-07-29,9.875
2022-07-30,9.018
2022-07-31,9.018
2022-08-01,8.95
2022-08-02,9.227
2022-08-03,8.814
2022-08-04,9.088
2022-08-05,9.227
2022-08-06,9.512
2022-08-07,9.227
2022-08-08,8.95
2022-08-09,9.088
2022-08-10,8.95
2022-08-11,8.547
2022-08-12,9.088
2022-08-13,8.035
2022-08-14,8.547
2022-08-15,9.227
2022-08-16,7.911
2022-08-17,6.977
2022-08-18,7.788
2022-08-19,8.16
2022-08-20,8.417
2022-08-21,8.16
2022-08-22,7.201
2022-08-23,7.668
2022-08-24,7.201
2022-08-25,8.035
2022-08-26,8.95
2022-08-27,8.95
2022-08-28,8.814
2022-08-29,9.227
2022-08-30,8.417
2022-08-31,8.16
2022-09-01,8.581
2022-09-02,9.129
2022-09-03,9.27
2022-09-04,8.189
2022-09-05,8.449
2022-09-06,8.318
2022-09-07,8.062
2022-09-08,7.813
2022-09-09,7.937
2022-09-10,7.813
2022-09-11,8.851
2022-09-12,6.557
2022-09-13,6.146
2022-09-14,6.992
2022-09-15,7.451
2022-09-16,7.451
2022-09-17,8.062
2022-09-18,7.937
2022-09-19,7.937
2022-09-20,9.129
2022-09-21,9.855
2022-09-22,9.559
2022-09-23,6.557
2022-09-24,7.105
2022-09-25,8.062
2022-09-26,6.452
2022-09-27,5.127
2022-09-28,5.389
2022-09-29,4.876
2022-09-30,5.57
2022-10-01,5.345
2022-10-02,5.903
2022-10-03,6.303
2022-10-04,6.1
2022-10-05,6.001
2022-10-06,5.903
2022-10-07,6.618
2022-10-08,5.083
2022-10-09,4.593
2022-10-10,4.915
2022-10-11,5.903
2022-10-12,6.303
2022-10-13,5.434
2022-10-14,5.083
2022-10-15,6.201
2022-10-16,6.511
2022-10-17,4.915
2022-10-18,2.963
2022-10-19,3.127
2022-10-20,3.241
2022-10-21,4.289
2022-10-22,5.434
2022-10-23,5.434
2022-10-24,5.434
2022-10-25,6.1
2022-10-26,4.003
2022-10-27,4.363
2022-10-28,5.618
2022-10-29,6.1
2022-10-30,5.618
2022-10-31,5.434
2022-11-01,5.235
2022-11-02,6.275
2022-11-03,5.975
2022-11-04,6.695
2022-11-05,6.074
2022-11-06,7.254
2022-11-07,7.852
2022-11-08,7.608
2022-11-09,5.503
2022-11-10,5.878
2022-11-11,5.594
2022-11-12,3.29
2022-11-13,2.204
2022-11-14,2.603
2022-11-15,3.175
2022-11-16,2.699
2022-11-17,2.204
2022-11-18,2.418
2022-11-19,2.287
2022-11-20,2.287
2022-11-21,2.555
2022-11-22,3.721
2022-11-23,3.989
2022-11-24,4.814
2022-11-25,4.654
2022-11-26,4.201
2022-11-27,4.422
2022-11-28,3.853
2022-11-29,4.498
2022-11-30,3.531
2022-12-01,2.115
2022-12-02,3.413
2022-12-03,4.113
2022-12-04,3.023
2022-12-05,3.717
2022-12-06,5.528
2022-12-07,5.016
2022-12-08,5.098
2022-12-09,5.016
2022-12-10,4.621
2022-12-11,3.911
2022-12-12,3.472
2022-12-13,3.413
2022-12-14,3.781
2022-12-15,2.445
2022-12-16,2.193
2022-12-17,2.154
2022-12-18,1.757
2022-12-19,1.692
2022-12-20,2.154
2022-12-21,2.358
2022-12-22,2.154
2022-12-23,0.961
2022-12-24,0.851
2022-12-25,1.197
2022-12-26,1.294
2022-12-27,1.965
2022-12-28,2.445
2022-12-29,4.183
2022-12-30,3.978
2022-12-31,4.325
